Country Name,Country Code,Series Name,Series Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82801.54266,85433.03094,85188.33704,77400.42144,73351.75677,72329.66133,72777.14849,73514.66868,74990.43322,76284.19393,78471.62873,81513.16302,86059.73922,91392.64259,..
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,513.3041877,478.5032764,477.1223243,419.8027038,271.5054976,346.1081962,304.6310755,276.4215961,278.3319015,280.9084242,251.2072914,250.3571459,260.7454587,293.661549,320.7368123,331.1630882,354.6708633,404.3745429,464.5612047,474.7056275,488.4217731,551.7496918,565.8011645,380.2978928,424.449106,377.422919,402.1916349,450.900697,475.9538495,467.9080218,476.8511127
Chad,TCD,GDP per capita (current US$),NY.GDP.PCAP.CD,291.5533573,304.8744725,296.0396966,222.9231832,173.9902724,206.2606526,221.6730401,205.8626958,224.5537395,190.5590719,166.1757089,197.1460821,221.4165369,292.6008802,454.3363652,658.566973,710.3963987,799.603742,929.3827519,803.6863884,892.5688697,984.7361305,967.3529488,979.8117426,1020.287979,776.0197523,693.4497674,665.9488849,726.1510071,709.5400432,614.4651899
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,40584.82851,42444.00762,43382.82685,41804.37092,44545.92231,48858.83186,56751.12694,58198.98418,63243.37383,74458.79467,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,2494.526796,2803.562714,3350.214089,3535.17436,4024.215228,5107.277513,5349.805227,5745.371076,5446.579522,4957.777557,5074.902616,4574.594716,4446.249371,4772.563723,6194.85272,7598.528877,9464.548507,10502.35071,10751.4816,10208.90797,12808.03834,14637.23344,15351.54074,15842.93648,14670.98891,13574.16924,13753.59215,14998.81706,15888.14436,14741.7144,13231.70421
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,317.884673,333.1421454,366.4606923,377.3898395,473.4922787,609.6566792,709.4137551,781.7441643,828.5804793,873.2870617,959.3724836,1053.108243,1148.50829,1288.643252,1508.668098,1753.417829,2099.229435,2693.970063,3468.304602,3832.236432,4550.453108,5618.132267,6316.918318,7050.646271,7678.599486,8066.942635,8147.937705,8879.438667,9976.677137,10216.63033,10500.39562
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,1445.32863,1456.694357,1697.112936,1893.542212,2284.838813,2539.912877,2620.538762,2827.379527,2566.024194,2209.93165,2520.481089,2439.682456,2396.627127,2281.401762,2782.623185,3414.465158,3741.092837,4714.073055,5472.53653,5193.241458,6336.709474,7335.166934,8050.255372,8218.347844,8114.343921,6175.87603,5870.777957,6376.706716,6729.583332,6424.979492,5332.773524
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,1043.790659,1000.556291,1047.965144,1008.038469,690.4672501,838.171684,810.5475521,726.0523149,718.1212694,723.1782555,647.4258118,680.9055728,747.9888625,937.7108963,1061.075548,1069.029426,1114.945281,1240.092528,1393.216032,1344.730406,1316.491225,1447.94527,1403.360421,1505.33722,1513.83039,1242.585682,1273.05092,1323.814958,1415.955164,1370.140123,1402.595489
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,270.1305434,268.2924969,220.3680073,275.8216169,145.0956035,135.8235936,134.9951648,138.9790482,138.5891003,102.5979732,405.2162186,153.5910441,175.009951,173.7961252,194.0400026,218.3862267,255.4330432,286.3304725,327.5637218,298.6196916,334.0215777,387.082477,424.6003738,457.9637475,486.7870951,497.3170391,471.3188225,467.0742317,557.0644117,580.7168605,556.8131853
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,1187.549772,1124.897863,1178.027111,1048.612991,672.1631948,781.5250117,912.0123512,810.0766444,660.4714774,774.7119448,1032.137542,869.1005017,916.5880378,1028.415222,1326.596688,1834.880014,2153.491743,2262.85441,2892.416962,2336.160957,3073.557784,3557.55617,3923.093509,3883.746848,3776.485568,2447.539308,2039.453223,2173.680253,2601.410483,2359.177309,1972.545246
